Date,Views
10/19/2015,21.35
10/20/2015,20.67
10/21/2015,21.55
10/22/2015,21.47
10/23/2015,18.92
10/24/2015,17.53
10/25/2015,20.1
10/26/2015,20.55
10/27/2015,20.89
10/28/2015,20.54
10/29/2015,18.82
10/30/2015,18.18
10/31/2015,18.12
11/1/2015,17.97
11/2/2015,21.33
11/3/2015,21.05
11/4/2015,20.02
11/5/2015,19.78
11/6/2015,18.06
11/7/2015,17.54
11/8/2015,18.54
11/9/2015,20.78
11/10/2015,19.63
11/11/2015,19.2
11/12/2015,18.8
11/13/2015,18.12
11/14/2015,18.07
11/15/2015,19.12
11/16/2015,20.88
11/17/2015,19.79
11/18/2015,19.89
11/19/2015,19.15
11/20/2015,17.57
11/21/2015,18.95
11/22/2015,19.46
11/23/2015,20.56
11/24/2015,19.45
11/25/2015,18.82
11/26/2015,18.14
11/27/2015,17.9
11/28/2015,19.15
11/29/2015,19.28
11/30/2015,21.37
12/1/2015,20.1
12/2/2015,18.21
12/3/2015,18.57
12/4/2015,17.96
12/5/2015,18.17
12/6/2015,18.41
12/7/2015,21.11
12/8/2015,20.08
12/9/2015,18.03
12/10/2015,16.57
12/11/2015,17.55
12/12/2015,16.26
12/13/2015,18.34
12/14/2015,19.25
12/15/2015,17.27
12/16/2015,17.62
12/17/2015,16.54
12/18/2015,16.28
12/19/2015,16.65
12/20/2015,16.68
12/21/2015,17.8
12/22/2015,17.44
12/23/2015,17.78
12/24/2015,17.21
12/25/2015,15.98
12/26/2015,17.89
12/27/2015,17.4
12/28/2015,18.94
12/29/2015,17.57
12/30/2015,17.38
12/31/2015,16.96
1/1/2016,16.36
1/2/2016,17.61
1/3/2016,17.54
1/4/2016,19.23
1/5/2016,18.14
1/6/2016,18.38
1/7/2016,17.28
1/8/2016,16.44
1/9/2016,16.44
1/10/2016,17.28
1/11/2016,19.1
1/12/2016,18.45
1/13/2016,17.2
1/14/2016,18.14
1/15/2016,17.46
1/16/2016,18.22
1/17/2016,18.7
1/18/2016,19.39
1/19/2016,19.66
1/20/2016,18.72
1/21/2016,18.93
1/22/2016,16.9
1/23/2016,17.53
1/24/2016,17.62
1/25/2016,20.1
1/26/2016,18.64
1/27/2016,19.26
1/28/2016,17.27
1/29/2016,17.16
1/30/2016,17.09
1/31/2016,18.36
2/1/2016,20.28
2/2/2016,18.92
2/3/2016,18.86
2/4/2016,18.48
2/5/2016,17.84
2/6/2016,18.59
2/7/2016,19.31
2/8/2016,20.74
2/9/2016,20.4
2/10/2016,17.8
2/11/2016,15.99
2/12/2016,16.62
2/13/2016,17.48
2/14/2016,18.73
2/15/2016,20.03
2/16/2016,20.58
2/17/2016,20.48
2/18/2016,18.84
2/19/2016,17.77
2/20/2016,17.82
2/21/2016,18.61
2/22/2016,20.42
2/23/2016,19.12
2/24/2016,18.96
2/25/2016,19.34
2/26/2016,18.11
2/27/2016,18.72
2/28/2016,19.8
2/29/2016,21.58
3/1/2016,19.91
3/2/2016,19.66
3/3/2016,21.09
3/4/2016,17.95
3/5/2016,19.49
3/6/2016,18.44
3/7/2016,19.34
3/8/2016,18.44
3/9/2016,18.14
3/10/2016,17.28
3/11/2016,15.68
3/12/2016,16.38
3/13/2016,14.68
3/14/2016,18.62
3/15/2016,16.79
3/16/2016,16.29
3/17/2016,16.04
3/18/2016,15.87
3/19/2016,14.5
3/20/2016,18.17482759
3/21/2016,15.32
3/22/2016,18.07
3/23/2016,15.11
3/24/2016,14.59
3/25/2016,17.67259259
3/26/2016,14.59
3/27/2016,15.33
3/28/2016,17.45
3/29/2016,15.72
3/30/2016,15.31
3/31/2016,14.51
4/1/2016,16.65192308
4/2/2016,15.13
4/3/2016,16.17
4/4/2016,18.15
4/5/2016,17
4/6/2016,17.03
4/7/2016,16.82
4/8/2016,16.18
4/9/2016,17.17
4/10/2016,17.37
4/11/2016,19.21
4/12/2016,18.44
4/13/2016,17.13
4/14/2016,17.17
4/15/2016,16.61
4/16/2016,17.18
4/17/2016,17.53
4/18/2016,20.15
4/19/2016,18.55
4/20/2016,17.68
4/21/2016,15.7
4/22/2016,15.58
4/23/2016,16.67
4/24/2016,17.78
4/25/2016,20.18
4/26/2016,17.81
4/27/2016,17.62
4/28/2016,17.92
4/29/2016,16.02
4/30/2016,17.19
5/1/2016,18.2
5/2/2016,19.71
5/3/2016,19.15
5/4/2016,18.69
5/5/2016,16.77
5/6/2016,16.41
5/7/2016,17.23
5/8/2016,17.88
5/9/2016,19.26
5/10/2016,18.92
5/11/2016,18.15
5/12/2016,18.43
5/13/2016,16.81
5/14/2016,18.16
5/15/2016,19.18
5/16/2016,21.1
5/17/2016,18.96
5/18/2016,17.96
5/19/2016,17.64
5/20/2016,16.16
5/21/2016,17.89
5/22/2016,15.63
5/23/2016,19.55
5/24/2016,18.48
5/25/2016,18.78
5/26/2016,17.9
5/27/2016,16.35
5/28/2016,18.1
5/29/2016,19
5/30/2016,19.55
5/31/2016,19.03
6/1/2016,18.73
6/2/2016,17.31
6/3/2016,15.92
6/4/2016,15.62
6/5/2016,18.88
6/6/2016,21.89
6/7/2016,19.1
6/8/2016,20.11
6/9/2016,18.97
6/10/2016,17.79
6/11/2016,20.3
6/12/2016,21.56
6/13/2016,22.99
6/14/2016,21.6
6/15/2016,19.54
6/16/2016,18.2
6/17/2016,16.32
6/18/2016,18.41
6/19/2016,19.03
6/20/2016,20.93
6/21/2016,19.77
6/22/2016,19.88
6/23/2016,19.59
6/24/2016,17.87
6/25/2016,19.31
6/26/2016,20.25
6/27/2016,18.67
6/28/2016,20.02
6/29/2016,19.58
6/30/2016,23.21
7/1/2016,17.24
7/2/2016,20.22
7/3/2016,20.83
7/4/2016,21.62
7/5/2016,18.72
7/6/2016,14.51
7/7/2016,14.88
7/8/2016,16.1
7/9/2016,18.41
7/10/2016,20.36
7/11/2016,21.42
7/12/2016,20.02
7/13/2016,19.22
7/14/2016,19.21
7/15/2016,17.86
7/16/2016,20.21
7/17/2016,20.72
7/18/2016,22.11
7/19/2016,20.95
7/20/2016,19.40551724
7/21/2016,19.3925
7/22/2016,19.37444444
7/23/2016,19.36615385
7/24/2016,19.426
7/25/2016,19.43083333
7/26/2016,19.39521739
7/27/2016,19.42818182
7/28/2016,19.4
7/29/2016,19.391
7/30/2016,19.19
7/31/2016,19.29833333
8/1/2016,19.24411765
8/2/2016,19.145
8/3/2016,18.98
8/4/2016,18.99857143
8/5/2016,19.34384615
8/6/2016,19.71583333
8/7/2016,20.04454545
8/8/2016,20.208
8/9/2016,20.19111111
8/10/2016,20.0375
8/11/2016,20.04
8/12/2016,20.17666667
8/13/2016,20.37
8/14/2016,20.9975
8/15/2016,21.26
8/16/2016,21.53
8/17/2016,24.93
8/18/2016,22.3
8/19/2016,20.31
8/20/2016,23.25
8/21/2016,23.95
8/22/2016,25.94
8/23/2016,25.35
8/24/2016,24.11
8/25/2016,22.25
8/26/2016,20.79
8/27/2016,25.42
8/28/2016,26.54
8/29/2016,23.76166667
8/30/2016,23.76166667
8/31/2016,23.76166667
9/1/2016,23.76166667
9/2/2016,23.76166667
9/3/2016,23.76166667
9/4/2016,23.76166667
9/5/2016,23.76166667
9/6/2016,27.95
9/7/2016,24.72
9/8/2016,22.95
9/9/2016,20.75
9/10/2016,23.23
9/11/2016,23.61
9/12/2016,21.11
9/13/2016,24.11
9/14/2016,27.33
9/15/2016,27.96
9/16/2016,21.48
9/17/2016,24.61
9/18/2016,24.44
9/19/2016,25.88
9/20/2016,21.12
9/21/2016,23.38
9/22/2016,22.83
9/23/2016,20.51
9/24/2016,23.02
9/25/2016,23.81
9/26/2016,24.71
9/27/2016,25.2
9/28/2016,24.11
9/29/2016,22.86
9/30/2016,20.99
10/1/2016,24.14
10/2/2016,23.88
10/3/2016,26.07
10/4/2016,26.38
10/5/2016,23.90137931
10/6/2016,23.75678571
10/7/2016,20.85
10/8/2016,23.05
10/9/2016,23.95
10/10/2016,24.91
10/11/2016,19.7
10/12/2016,17.72
10/13/2016,21.41
10/14/2016,21.27
10/15/2016,24.25
10/16/2016,24.59
10/17/2016,26.99
10/18/2016,25.23
10/19/2016,23.66
10/20/2016,22.12
10/21/2016,20.25
10/22/2016,23.4
10/23/2016,23.62
10/24/2016,25.39
10/25/2016,24.28
10/26/2016,23.48
10/27/2016,22.31
10/28/2016,19.9
10/29/2016,22.61
10/30/2016,22.99
10/31/2016,25.23
11/1/2016,24.03
11/2/2016,23.74
11/3/2016,22.67
11/4/2016,20.86
11/5/2016,22.98
11/6/2016,23.32
11/7/2016,25.02
11/8/2016,24.6
11/9/2016,25.3
11/10/2016,24.22
11/11/2016,20.82
11/12/2016,23.48
11/13/2016,24.37
11/14/2016,25.56
11/15/2016,24.23
11/16/2016,24.03
11/17/2016,22.34
11/18/2016,20.33
11/19/2016,22.77
11/20/2016,20.38
11/21/2016,24.42
11/22/2016,23.95
11/23/2016,22.7
11/24/2016,21.13
11/25/2016,20.06
11/26/2016,22.9
11/27/2016,22.25
11/28/2016,21.39
11/29/2016,22.78
11/30/2016,20.29
12/1/2016,21.17
12/2/2016,19.55
12/3/2016,22.7
12/4/2016,22.66
12/5/2016,25.2
12/6/2016,23.75
12/7/2016,22.92
12/8/2016,21.9
12/9/2016,19.53
12/10/2016,22.86
12/11/2016,22.93
12/12/2016,24.77
12/13/2016,23.66
12/14/2016,22.66
12/15/2016,20.83
12/16/2016,19.65
12/17/2016,18.57
12/18/2016,22.42
12/19/2016,25.07
12/20/2016,25.04
12/21/2016,26.28
12/22/2016,24.2
12/23/2016,22.54
12/24/2016,25.06
12/25/2016,25.87
12/26/2016,22.70689655
12/27/2016,26.92
12/28/2016,27.03
12/29/2016,26.07
12/30/2016,24.36
12/31/2016,26.15
